Distance(mm),Time(ms),Hilbert Amptitude(mV)
160,0.39052,124.0081463855596
160,0.39056,123.0000000716215
160,0.3906,124.00036396493229
160,0.39064,124.00000098026331
160,0.39068,124.00000284682791
160,0.39072,124.00000319075426
160,0.39076,124.0000206227621
160,0.3908,124.00000546262002
160,0.39084,124.0000358709938
160,0.39088,124.00000752787432
160,0.39092,124.00006405701606
160,0.39096,124.00000936067791
160,0.391,124.00016706881365
160,0.39104,124.000010999534
160,0.39108,124.00154462183146
160,0.39112,123.00001260076222
160,0.39116,124.00178365673918
160,0.3912,124.00001391835593
160,0.39124,124.00026005096775
160,0.39128,124.00001531985109
160,0.39132,124.00014022303486
160,0.39136,124.00001677505112
160,0.3914,124.00012376948278
160,0.39144,124.00001837367134
160,0.39148,124.00015626160769
160,0.39152,124.00002024077175
160,0.39156,124.00030585527111
160,0.3916,124.00002256924417
160,0.39164,124.0019716562108
160,0.39168,125.00002548227319
160,0.39172,124.00130489656057
160,0.39176,124.00003021965702
160,0.3918,124.00006953738504
160,0.39184,124.00003750894315
160,0.39188,124.00000119396991
160,0.39192,124.00005100059715
160,0.39196,124.00003721177863
160,0.392,124.00008216268424
160,0.39204,124.0011362740093
160,0.39208,125.00019053839878
160,0.39212,124.00222554210575
160,0.39216,124.00158484241419
160,0.3922,125.00043564729535
160,0.39224,124.00184660401936
160,0.39228,124.00030470590289
160,0.39232,124.00043622038757
160,0.39236,124.00040789456155
160,0.3924,124.00173646990693
160,0.39244,123.00209390728472
160,0.39248,123.00184062822429
160,0.39252,124.00132134492763
160,0.39256,124.00037354046877
160,0.3926,124.00010414705156
160,0.39264,124.00040390926708
160,0.39268,124.00002983640236
160,0.39272,124.00204809965783
160,0.39276,125.00001360695082
160,0.3928,124.00133301304652
160,0.39284,124.00000850066367
160,0.39288,124.00010214360019
160,0.39292,124.00000658972516
160,0.39296,124.00002577868034
160,0.393,124.00000608554288
160,0.39304,124.00000913875627
160,0.39308,124.00000644561116
160,0.39312,124.00000372670108
160,0.39316,124.00000760747773
160,0.3932,124.00000158983822
160,0.39324,124.00000981730675
160,0.39328,124.00000065749587
160,0.39332,124.000013737201
160,0.39336,124.00000023686673
160,0.3934,124.00002092540956
160,0.39344,124.00000005716191
160,0.39348,124.00003546240406
160,0.39352,124.00000000158249
160,0.39356,124.00007083553245
160,0.3936,124.00000001624373
160,0.39364,124.00019678302606
160,0.39368,124.00000007207596
160,0.39372,124.00170555778504
160,0.39376,125.00000013718129
160,0.3938,124.00152735197041
160,0.39384,124.00000014284346
160,0.39388,124.00013020365134
160,0.39392,124.0000000017262
160,0.39396,124.00002338612155
160,0.394,124.00000368667722
160,0.39404,124.00000010094756
160,0.39408,124.00045729415523
160,0.39412,123.00003938082976
160,0.39416,124.00837583015904
160,0.3942,125.00114049703808
160,0.39424,125.00010454335315
160,0.39428,125.00214422475528
160,0.39432,124.00246650470974
160,0.39436,124.0003704042751
160,0.3944,124.0004349095312
160,0.39444,124.00018662909183
160,0.39448,124.00031455836573
160,0.39452,124.00012603271634
160,0.39456,124.00135170068712
160,0.3946,123.00009815685954
160,0.39464,124.00522561927463
160,0.39468,125.00008050523711
160,0.39472,124.00121590180444
160,0.39476,124.00007090829922
160,0.3948,124.00016985924819
160,0.39484,124.00006380024182
160,0.39488,124.0000989517218
160,0.39492,124.00005826754817
160,0.39496,124.00008422918408
160,0.395,124.00005312730907
160,0.39504,124.00008687638814
160,0.39508,124.0000470387359
160,0.39512,124.00010761119992
160,0.39516,124.00003786432556
160,0.3952,124.00018855372723
160,0.39524,124.00002182076139
160,0.39528,124.00128295024241
160,0.39532,123.0000002260861
160,0.39536,124.00506001709508
160,0.3954,125.0006040336858
160,0.39544,125.00143521329754
160,0.39548,124.00350420183202
160,0.39552,124.0003580114867
160,0.39556,124.00149345086069
160,0.3956,124.00045840369869
160,0.39564,124.00381060889357
160,0.39568,123.002280127314
160,0.39572,123.00035714202376
160,0.39576,124.00112136385987
160,0.3958,124.00015879363487
160,0.39584,124.00004170890382
160,0.39588,124.00198713016832
160,0.39592,123.00000067292044
160,0.39596,124.001153229737
160,0.396,124.00000360196537
160,0.39604,124.00002914558634
160,0.39608,124.00001422588821
160,0.39612,124.00000229171383
160,0.39616,124.00002990291408
160,0.3962,124.00003235357171
160,0.39624,124.00005593592131
160,0.39628,124.0000985204557
160,0.39632,124.0001155188062
160,0.39636,124.00030009763566
160,0.3964,124.00035775709492
160,0.39644,124.00240663170028
160,0.39648,123.00468532767155
160,0.39652,122.00006021206543
160,0.39656,122.00859261649504
160,0.3966,123.03284116416447
160,0.39664,125.05852940060366
160,0.39668,128.03780974331312
160,0.39672,130.00017810449683
160,0.39676,130.0470552126021
160,0.3968,128.19180911564266
160,0.39684,124.37027061578507
160,0.39688,118.40001868854033
160,0.39692,112.13149105838173
160,0.39696,110.0290468207514
160,0.397,113.43152124161999
160,0.39704,119.96095352931131
160,0.39708,129.15893751865656
160,0.39712,138.6769161955093
160,0.39716,145.063646479787
160,0.3972,146.24818781929764
160,0.39724,140.60032773813768
160,0.39728,128.1322702731611
160,0.39732,111.20099932274583
160,0.39736,94.09460466558714
160,0.3974,87.25743568742467
160,0.39744,100.36056399647369
160,0.39748,124.3557324274768
160,0.39752,149.2505583235551
160,0.39756,170.0091167052958
160,0.3976,178.03679184953972
160,0.39764,173.55551765240946
160,0.39768,155.09947092107126
160,0.39772,125.34424883405345
160,0.39776,88.56687893633755
160,0.3978,59.398279476752485
160,0.39784,64.83838947042743
