Distance(mm),Time(ms),Amptitude(mV)
0,0.384800,124.00
0,0.384840,124.00
0,0.384880,125.00
0,0.384920,124.00
0,0.384960,124.00
0,0.385000,124.00
0,0.385040,124.00
0,0.385080,125.00
0,0.385120,124.00
0,0.385160,124.00
0,0.385200,124.00
0,0.385240,124.00
0,0.385280,125.00
0,0.385320,124.00
0,0.385360,124.00
0,0.385400,124.00
0,0.385440,124.00
0,0.385480,125.00
0,0.385520,124.00
0,0.385560,125.00
0,0.385600,125.00
0,0.385640,123.00
0,0.385680,124.00
0,0.385720,123.00
0,0.385760,125.00
0,0.385800,124.00
0,0.385840,124.00
0,0.385880,125.00
0,0.385920,124.00
0,0.385960,124.00
0,0.386000,124.00
0,0.386040,124.00
0,0.386080,125.00
0,0.386120,124.00
0,0.386160,124.00
0,0.386200,124.00
0,0.386240,124.00
0,0.386280,125.00
0,0.386320,124.00
0,0.386360,124.00
0,0.386400,124.00
0,0.386440,124.00
0,0.386480,125.00
0,0.386520,124.00
0,0.386560,124.00
0,0.386600,124.00
0,0.386640,124.00
0,0.386680,125.00
0,0.386720,124.00
0,0.386760,125.00
0,0.386800,125.00
0,0.386840,124.00
0,0.386880,124.00
0,0.386920,124.00
0,0.386960,124.00
0,0.387000,124.00
0,0.387040,123.00
0,0.387080,123.00
0,0.387120,124.00
0,0.387160,124.00
0,0.387200,123.00
0,0.387240,124.00
0,0.387280,125.00
0,0.387320,124.00
0,0.387360,124.00
0,0.387400,124.00
0,0.387440,125.00
0,0.387480,125.00
0,0.387520,124.00
0,0.387560,124.00
0,0.387600,123.00
0,0.387640,124.00
0,0.387680,125.00
0,0.387720,124.00
0,0.387760,124.00
0,0.387800,123.00
0,0.387840,124.00
0,0.387880,125.00
0,0.387920,124.00
0,0.387960,124.00
0,0.388000,124.00
0,0.388040,124.00
0,0.388080,124.00
0,0.388120,124.00
0,0.388160,125.00
0,0.388200,124.00
0,0.388240,124.00
0,0.388280,125.00
0,0.388320,124.00
0,0.388360,124.00
0,0.388400,124.00
0,0.388440,124.00
0,0.388480,124.00
0,0.388520,124.00
0,0.388560,124.00
0,0.388600,124.00
0,0.388640,124.00
